key,zh,en,zh-hk,zh-tw,ja,ko,de,es,fr,ru,pt-br,it
autoLockNever,从不,Never,永不,永不,しない,절대 안 함,Nie,Nunca,Jamais,Никогда,Nunca,Mai
autoLock1m,1 分钟后,After 1 minute,1分鐘後,1分鐘後,1分後,1분 후,Nach 1 Minute,Después de 1 minuto,Après 1 minute,Через 1 минуту,Após 1 minuto,Dopo 1 minuto
autoLock5m,5 分钟后,After 5 minutes,5分鐘後,5分鐘後,5分後,5분 후,Nach 5 Minuten,Después de 5 minutos,Après 5 minutes,Через 5 минут,Após 5 minutos,Dopo 5 minuti
autoLock15m,15 分钟后,After 15 minutes,15分鐘後,15分鐘後,15分後,15분 후,Nach 15 Minuten,Después de 15 minutos,Après 15 minutes,Через 15 минут,Após 15 minutos,Dopo 15 minuti
autoLock30m,30 分钟后,After 30 minutes,30分鐘後,30分鐘後,30分後,30분 후,Nach 30 Minuten,Después de 30 minutos,Après 30 minutes,Через 30 минут,Após 30 minutos,Dopo 30 minuti
autoLock1h,1 小时后,After 1 hour,1小時後,1小時後,1時間後,1시간 후,Nach 1 Stunde,Después de 1 hora,Après 1 heure,Через 1 час,Após 1 hora,Dopo 1 ora
totp,TOTP,TOTP,TOTP,TOTP,TOTP,TOTP,TOTP,TOTP,TOTP,TOTP,TOTP,TOTP
totpSecret,TOTP 密钥,TOTP Secret,TOTP金鑰,TOTP金鑰,TOTPシークレット,TOTP 비밀키,TOTP‑Geheimnis,secreto TOTP,secret TOTP,секрет TOTP,segredo TOTP,segreto TOTP
totpPlaceholder,粘贴 otpauth 链接或 Base32 密钥,Paste otpauth URL or base32 secret key,貼上otpauth連結或Base32金鑰,貼上otpauth連結或Base32金鑰,otpauth URLまたはBase32シークレットキーを貼り付け,otpauth 링크 또는 Base32 비밀키 붙여넣기,otpauth‑URL oder Base32‑Schlüssel einfügen,pegar URL otpauth o clave secreta Base32,coller l’URL otpauth ou la clé secrète Base32,вставьте ссылку otpauth или ключ Base32,cole a URL otpauth ou chave secreta Base32,incolla l’URL otpauth o chiave Base32
totpLoading,正在生成...,Generating...,正在產生…,正在產生…,生成中…,생성 중...,Wird generiert...,Generando...,Génération en cours...,Генерация...,Gerando...,Generazione in corso...
totpError,TOTP 验证码生成失败,Failed to generate TOTP code,TOTP驗證碼產生失敗,TOTP驗證碼產生失敗,TOTPコードの生成に失敗,TOTP 코드 생성 실패,Fehler bei Generierung des TOTP‑Codes,fallo al generar el código TOTP,échec de génération du code TOTP,Не удалось создать код TOTP,falha ao gerar o código TOTP,generazione codice TOTP fallita
scanQr,从剪贴板扫描二维码,Scan QR code from clipboard,從剪貼簿掃描QR碼,從剪貼簿掃描QR碼,クリップボードからQRコードをスキャン,클립보드에서 QR코드 스캔,QR‑Code aus Zwischenablage scannen,Escanear código QR desde portapapeles,scanner le QR‑code depuis le presse‑papiers,сканировать QR‑код из буфера обмена,Escanear QR‑code da área de transferência,scansiona codice QR dagli appunti
qrNotFound,剪贴板中未识别到二维码,No QR code found in clipboard,剪貼簿裡找不到QR碼,剪貼簿偵測不到QR碼,クリップボードにQRコードが見つかりません,클립보드에서 QR코드를 찾을 수 없음,Kein QR‑Code in der Zwischenablage gefunden,no se encontró ningún código QR en el portapapeles,aucun QR‑code trouvé dans le presse‑papiers,QR‑код в буфере обмена не найден,Nenhum QR‑code encontrado na área de transferência,nessun codice QR trovato negli appunti
qrScanFailed,扫描失败，请确认剪贴板中有二维码截图,Scan failed. Make sure you have a QR code screenshot in clipboard.,掃描失敗，請確認剪貼簿內有QR碼截圖,掃描失敗，請確認剪貼簿內有QR碼截圖,スキャン失敗。クリップボードにQRコードの画像があるか確認してください,스캔 실패, 클립보드에 QR코드 스크린샷이 있는지 확인하세요,Scan fehlgeschlagen, stellen Sie sicher dass sich ein QR‑Code‑Bild in der Zwischenablage befindet,error de escaneo, asegúrese de que haya una captura del código QR en el portapapeles,échec du scan : assurez‑vous d’avoir une capture d’écran du QR‑code dans le presse‑papiers
compactView,简要视图,Compact view,簡潔檢視,簡潔檢視,コンパクトビュー,간단 보기,Kompaktansicht,Vista compacta,Vue compacte,Компактный вид,Visão compacta,Vista compatta
detailView,详细视图,Detail view,詳細檢視,詳細檢視,詳細ビュー,상세 보기,Detailansicht,Vista detallada,Vue détaillée,Подробный вид,Visão detalhada,Vista dettagliata
sortBy,排序方式,Sort by,排序方式,排序方式,並べ替え,정렬 기준,Sortieren nach,Ordenar por,Trier par,Сортировать по,Ordenar por,Ordina per
filter,筛选,Filter,篩選,篩選,フィルター,필터,Filter,Filtro,Filtre,Фильтр,Filtro,Filtro
noItems,暂无条目,No items,暫無條目,暫無條目,項目がありません,항목 없음,Keine Elemente,Sin elementos,Aucun élément,Нет элементов,Sem itens,Nessun elemento
loadMore,加载更多,Load more,加載更多,加載更多,さらに読み込む,더 불러오기,Mehr laden,Cargar más,Charger plus,Загрузить еще,Carregar mais,Carica altro
remaining,剩余 {count} 条,{count} remaining,剩餘 {count} 條,剩餘 {count} 條,残り {count} 件,남은 {count} 개,{count} verbleibend,{count} restantes,{count} restants,Осталось {count},{count} restantes,{count} rimanenti
sortByDate,按修改时间,By time modified,按修改時間,按修改時間,更新日時順,수정 시간순,Nach Änderungszeit,Por fecha de modificación,Par date de modification,По дате изменения,Por data de modificação,Per data di modifica
sortByName,按名称,By name,按名稱,按名稱,名前順,이름순,Nach Name,Por nombre,Par nom,По имени,Por nome,Per nome
sortByNameAZ,名称 A-Z,Name A-Z,名稱 A-Z,名稱 A-Z,名前 A-Z,이름 A-Z,Name A-Z,Nombre A-Z,Nom A-Z,Имя A-Z,Nome A-Z,Nome A-Z
sortByNameZA,名称 Z-A,Name Z-A,名稱 Z-A,名稱 Z-A,名前 Z-A,이름 Z-A,Name Z-A,Nombre Z-A,Nom Z-A,Имя Z-A,Nome Z-A,Nome Z-A
sortByDateNewest,最近优先,Newest first,最近優先,最近優先,新しい順,최신순,Neueste zuerst,Más reciente primero,Plus récent en premier,Сначала новые,Mais recente primeiro,Prima i più recenti
sortByDateOldest,最早优先,Oldest first,最早優先,最早優先,古い順,오래된순,Älteste zuerst,Más antiguo primero,Plus ancien en premier,Сначала старые,Mais antigo primeiro,Prima i più vecchi
sortByCustom,手动排序,Custom order,手動排序,手動排序,カスタム順,사용자 정의 순서,Benutzerdefinierte Reihenfolge,Orden personalizado,Ordre personnalisé,Пользовательский порядок,Ordem personalizada,Ordine personalizzato
tags,标签,Tags,標籤,標籤,タグ,태그,Tags,Etiquetas,Tags,Теги,Tags,Tag
tagsPlaceholder,"用逗号分隔标签，例如 work, email","Separate tags with commas, e.g. work, email","用逗號分隔標籤，例如 work, email","用逗號分隔標籤，例如 work, email","カンマでタグを区切ってください（例：work, email）","쉼표로 태그를 구분하세요 (예: work, email)","Trennen Sie Tags mit Kommas, z. B. work, email","Separa las etiquetas con comas, ej: work, email","Séparez les tags par des virgules, ex: work, email","Разделяйте теги запятыми, например: work, email","Separe as tags com vírgulas, ex: work, email","Separa i tag con virgole, es: work, email"
close,关闭,Close,關閉,關閉,閉じる,닫기,Schließen,Cerrar,Fermer,Закрыть,Fechar,Chiudi
